reality	'200.0/(1+(x-78)**2/40**2)+300.0/(1+(x-100)**2/30**2)+150-x'
ex	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
ey	array([ 32.71229461,  30.43902731,  32.1905295 ,  22.77622504,
        34.16971709,  39.50155449,  27.00731159,  29.02710379,
        32.71884383,  28.8828983 ,  34.24627786,  21.4440182 ,
        25.97224386,  19.47042041,  23.45315967,  18.06589297,
        27.33619831,  18.13536079,  26.06682716,  37.90484592,
        25.77104432,  24.90842598,  23.73119716,  27.1799015 ,
        30.79699302,  24.97829782,  25.6077288 ,  34.76116134,
        37.20548692,  12.66646451,  18.78307933,  27.96842107,
        38.70532477,  20.69155396,  27.5136335 ,  35.70475695,
        11.4689618 ,  37.7098148 ,  18.11106951,  16.8706884 ,
        26.14334051,  16.49296698,  15.44411302,  28.99774066,
        10.97370549,  32.925325  ,  37.92110733,  39.0413406 ,
        29.72043717,  29.58041945,  35.06482052,  39.24308894,
        10.60064805,  20.57209656,  13.72104412,  17.74989122,
        19.32110114,  14.29441311,  24.45508393,  20.94505129,
        35.5318799 ,  14.21842091,  17.90427623,  14.97857744,
        34.41545128,  30.8860266 ,  30.09891147,  39.04457379,
        37.46105571,  34.62826326,  15.52942776,  15.2059014 ,
        20.51472706,  16.46195777,  20.80349529,  28.32438479,
        32.38360067,  32.90955646,  19.75690798,  34.67256367,
        33.02374507,  37.59437724,  32.2663723 ,  20.80644163,
        25.72715175,  39.83008622,  25.91429403,  25.91230853,
        37.36876706,  29.46914279,  14.53115552,  15.26193387,
        39.47479317,  12.43423448,  31.45536122,  39.35894052,
        36.452038  ,  15.66953549,  29.57384502,  18.68076907])
xdistribution	'normal'
ydistribution	'normal'

x	y	ey	ex
1.0	168.89265562	32.7122946051	0
3.0101010101	237.693300715	30.4390273123	0
5.0202020202	176.764283299	32.1905295005	0
7.0303030303	229.301393481	22.7762250373	0
9.0404040404	252.45262607	34.1697170868	0
11.0505050505	237.133964336	39.5015544863	0
13.0606060606	197.963130371	27.0073115919	0
15.0707070707	273.961547507	29.0271037934	0
17.0808080808	263.842523501	32.7188438344	0
19.0909090909	250.499417259	28.8828982953	0
21.101010101	223.208597134	34.2462778573	0
23.1111111111	237.289389862	21.4440181975	0
25.1212121212	245.036382839	25.972243856	0
27.1313131313	214.419438515	19.4704204107	0
29.1414141414	248.305296755	23.4531596744	0
31.1515151515	233.867113945	18.0658929737	0
33.1616161616	226.029519623	27.3361983138	0
35.1717171717	280.887646605	18.1353607921	0
37.1818181818	257.156321487	26.0668271557	0
39.1919191919	248.073886178	37.9048459214	0
41.202020202	267.165877766	25.7710443248	0
43.2121212121	257.970952368	24.9084259824	0
45.2222222222	301.426443031	23.7311971561	0
47.2323232323	260.023111739	27.1799014958	0
49.2424242424	313.852955097	30.7969930167	0
51.2525252525	298.723728216	24.9782978248	0
53.2626262626	340.4333367	25.6077288	0
55.2727272727	285.310113201	34.761161343	0
57.2828282828	371.346944719	37.205486922	0
59.2929292929	343.867250131	12.6664645071	0
61.303030303	381.740458591	18.7830793295	0
63.3131313131	370.571759403	27.9684210686	0
65.3232323232	427.453035943	38.70532477	0
67.3333333333	393.313199086	20.6915539566	0
69.3434343434	376.85540273	27.513633499	0
71.3535353535	469.319713926	35.7047569468	0
73.3636363636	444.107181873	11.4689617974	0
75.3737373737	394.292193657	37.7098148021	0
77.3838383838	458.732381347	18.1110695052	0
79.3939393939	470.022606045	16.870688402	0
81.404040404	485.489816635	26.143340509	0
83.4141414141	461.82058311	16.4929669771	0
85.4242424242	483.368090777	15.4441130222	0
87.4343434343	528.636009694	28.997740661	0
89.4444444444	498.575827658	10.9737054913	0
91.4545454545	507.436099685	32.9253250011	0
93.4646464646	495.855941747	37.9211073333	0
95.4747474747	525.811163453	39.0413405963	0
97.4848484848	519.39391628	29.7204371662	0
99.4949494949	500.664648587	29.5804194517	0
101.505050505	506.492508144	35.064820517	0
103.515151515	438.049710089	39.2430889424	0
105.525252525	487.088426883	10.6006480544	0
107.535353535	469.240188792	20.5720965563	0
109.545454545	442.892796793	13.7210441193	0
111.555555556	413.470811233	17.7498912214	0
113.565656566	393.772041479	19.3211011409	0
115.575757576	384.329169056	14.2944131074	0
117.585858586	343.857562189	24.4550839256	0
119.595959596	315.336622738	20.9450512939	0
121.606060606	331.718493147	35.5318799037	0
123.616161616	293.869908421	14.2184209139	0
125.626262626	326.519775403	17.9042762287	0
127.636363636	266.863418328	14.9785774408	0
129.646464646	145.184803367	34.4154512771	0
131.656565657	269.039285583	30.8860265962	0
133.666666667	207.830291323	30.0989114705	0
135.676767677	228.141197433	39.0445737924	0
137.686868687	173.18679532	37.461055711	0
139.696969697	175.888686163	34.6282632625	0
141.707070707	159.582424751	15.5294277625	0
143.717171717	162.131565819	15.2059014028	0
